n_estimators,learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,reg_alpha,mse,mae
1000,0.1,8,0.6,0.6,0.5,1.0,769277725.2915738,16004.048600706335
200,0.1,10,0.6,0.6,2.0,0.0,769564076.260713,17006.596893728594
200,0.1,10,0.6,0.6,2.0,1.0,769856825.4801905,16926.50504334332
750,0.01,10,0.6,0.6,0.5,2.0,769916637.1455661,15813.477177868152
750,0.01,10,0.6,0.6,0.5,1.0,772146992.2480841,15850.15625
500,0.1,8,0.6,0.6,0.5,2.0,772732535.5376829,15921.380618578767
750,0.1,8,0.6,0.6,0.5,2.0,772737202.9222445,15920.828780500857
1500,0.1,8,0.6,0.6,0.5,2.0,772737591.4083893,15920.825529751712
1000,0.1,8,0.6,0.6,0.5,2.0,772737809.0927668,15920.833302119006
500,0.1,8,0.6,0.6,0.5,0.0,773530185.0685987,15970.617802868152
1500,0.1,8,0.6,0.6,0.5,0.0,773590257.092767,15970.68280447346
1000,0.1,8,0.6,0.6,0.5,0.0,773591999.9253155,15970.695151969177
750,0.1,8,0.6,0.6,0.5,0.0,773592582.8150266,15970.712235124143
200,0.1,8,0.6,0.6,0.5,0.0,773818495.5287898,15982.398905714897
200,0.1,10,0.6,0.6,2.0,2.0,773826893.4234759,17003.63550139127
200,0.1,8,0.6,0.6,0.5,2.0,773889831.1100819,15957.25656838613
1500,0.01,10,0.6,0.8,1.0,0.5,774624394.562598,15915.497030179795
750,0.01,10,0.6,0.6,0.5,0.0,775110397.1867912,15783.543891802226
750,0.01,6,0.6,0.6,1.0,1.0,775176422.5766574,15759.81746307791
1500,0.01,10,0.6,0.8,1.0,1.0,775370427.5461733,15918.537055864726
750,0.01,6,0.6,0.6,1.0,2.0,775566948.2571234,15719.687138805652
500,0.05,6,0.6,0.6,2.0,0.0,775610534.3629727,16297.814734053938
750,0.01,6,0.6,0.6,1.0,0.0,775956847.5305322,15755.70586740154
750,0.01,6,0.6,0.6,1.0,0.5,775957704.6895025,15755.710763591609
